FIR_Number,Crime_Type,District,Police_Station,Latitude,Longitude,Date,Status,IPC_Sections,Risk_Level,AI_Confidence,Prediction_Flag
KSP/BEN/2024/00014,ROBBERY / DACOITY,Bengaluru City,Hebbal,12.9872,77.5662,2024-10-29 14:57:00,Pending,"Sec 392, 395 IPC",Critical,86.4,High Risk Zone
KSP/CHI/2024/00015,MOTOR VEHICLE ACCIDENTS NON-FATAL,Chitradurga,Kote PS,14.2853,76.386,2024-11-15 14:46:00,Closed,"Sec 279, 337 IPC",Medium,91.3,Standard Monitoring
KSP/BEN/2025/00016,CYBER CRIME & FRAUD,Bengaluru City,Hebbal,13.0051,77.6483,2025-08-30 18:20:00,Investigating,"Sec 66D IT Act, 420 IPC",High,93.2,High Risk Zone
KSP/SHI/2026/00017,MOTOR VEHICLE ACCIDENTS NON-FATAL,Shivamogga,Bhadravathi,14.0089,75.5931,2026-01-22 10:51:00,Investigating,"Sec 279, 337 IPC",Medium,93.3,Standard Monitoring
KSP/BEN/2024/00018,HURT / ASSAULT,Bengaluru City,Cubbon Park,12.9482,77.6562,2024-01-14 16:46:00,Pending,"Sec 323, 324, 504 IPC",High,95.0,High Risk Zone
KSP/MAN/2025/00019,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mangaluru,Urwa,12.864,74.8973,2025-07-02 18:36:00,Pending,"Sec 279, 337 IPC",Medium,97.9,Standard Monitoring
KSP/BEN/2025/00020,THEFT,Bengaluru City,Whitefield,12.9573,77.6451,2025-10-18 13:11:00,Investigating,Sec 379 IPC,Medium,97.3,Standard Monitoring
KSP/KOL/2025/00021,THEFT,Kolar,Robertsonpet,13.1471,78.1794,2025-12-25 06:43:00,Investigating,Sec 379 IPC,Medium,97.7,Standard Monitoring
KSP/CHI/2026/00022,ROBBERY / DACOITY,Chitradurga,Kote PS,14.2175,76.3952,2026-06-20 08:09:00,Closed,"Sec 392, 395 IPC",Critical,97.6,High Risk Zone
KSP/HAS/2024/00023,BURGLARY / HOUSE BREAKING,Hassan,Arsikere,13.0303,76.154,2024-06-10 06:18:00,Pending,"Sec 454, 457, 380 IPC",High,88.9,High Risk Zone
KSP/KAL/2025/00024,BURGLARY / HOUSE BREAKING,Kalaburagi,Ashok Nagar,17.3165,76.7997,2025-10-27 20:40:00,Solved,"Sec 454, 457, 380 IPC",High,88.8,High Risk Zone
KSP/MYS/2026/00025,BURGLARY / HOUSE BREAKING,Mysuru,Devaraja PS,12.2482,76.6215,2026-01-09 10:01:00,Charge Sheeted,"Sec 454, 457, 380 IPC",High,96.0,High Risk Zone
KSP/MAN/2025/00026,THEFT,Mangaluru,Barkarke,12.9481,74.875,2025-01-20 00:42:00,Closed,Sec 379 IPC,Medium,88.8,Standard Monitoring
KSP/GAD/2026/00027,MOTOR VEHICLE ACCIDENTS NON-FATAL,Gadag,Town PS,15.3703,75.6836,2026-01-28 22:02:00,Solved,"Sec 279, 337 IPC",Medium,85.3,Standard Monitoring
KSP/TUM/2024/00028,KPA 1963 VIOLATIONS,Tumakuru,Sira,13.3047,77.1317,2024-02-22 17:08:00,Solved,"Sec 78, 87 KPA",Low,91.6,Standard Monitoring
KSP/MAN/2024/00029,HURT / ASSAULT,Mangaluru,Panambur,12.974,74.8895,2024-11-09 19:37:00,Solved,"Sec 323, 324, 504 IPC",High,85.6,High Risk Zone
KSP/HUB/2025/00030,CrPC OFFENCES,Hubballi-Dharwad,Vidyagiri,15.3802,75.1595,2025-09-14 19:56:00,Solved,"Sec 107, 151 CrPC",Low,94.1,Standard Monitoring
KSP/RAI/2024/00031,MOTOR VEHICLE ACCIDENTS NON-FATAL,Raichur,Manvi,16.2542,77.4075,2024-05-31 19:54:00,Solved,"Sec 279, 337 IPC",Medium,89.8,Standard Monitoring
KSP/BAG/2025/00032,CrPC OFFENCES,Bagalkote,Ilkal,16.1975,75.7102,2025-09-17 02:27:00,Solved,"Sec 107, 151 CrPC",Low,85.1,Standard Monitoring
KSP/BEN/2026/00033,CrPC OFFENCES,Bengaluru City,Electronic City,12.9953,77.6327,2026-03-20 09:14:00,Closed,"Sec 107, 151 CrPC",Low,90.3,Standard Monitoring
KSP/BAL/2024/00034,THEFT,Ballari,Hospet Town,15.1452,76.8618,2024-06-10 11:53:00,Pending,Sec 379 IPC,Medium,97.9,Standard Monitoring
KSP/KOL/2025/00035,ROBBERY / DACOITY,Kolar,Robertsonpet,13.1368,78.1333,2025-05-18 17:40:00,Solved,"Sec 392, 395 IPC",Critical,93.3,High Risk Zone
KSP/RAM/2025/00036,CrPC OFFENCES,Ramanagara,Kanakapura,12.7697,77.3315,2025-01-21 10:30:00,Pending,"Sec 107, 151 CrPC",Low,89.6,Standard Monitoring
KSP/MAN/2024/00037,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mandya,East PS,12.5915,76.9732,2024-05-25 10:28:00,Solved,"Sec 279, 337 IPC",Medium,89.3,Standard Monitoring
KSP/TUM/2024/00038,MOTOR VEHICLE ACCIDENTS NON-FATAL,Tumakuru,Kyatsandra,13.3169,77.0818,2024-03-13 21:10:00,Closed,"Sec 279, 337 IPC",Medium,91.7,Standard Monitoring
KSP/BEN/2026/00039,KPA 1963 VIOLATIONS,Bengaluru City,Electronic City,12.9545,77.5485,2026-06-24 14:40:00,Closed,"Sec 78, 87 KPA",Low,93.5,Standard Monitoring
KSP/MYS/2024/00040,THEFT,Mysuru,Vidyaranyapuram,12.2629,76.5906,2024-02-10 01:40:00,Investigating,Sec 379 IPC,Medium,94.8,Standard Monitoring
KSP/GAD/2024/00041,MOTOR VEHICLE ACCIDENTS NON-FATAL,Gadag,Betageri,15.4092,75.6875,2024-04-25 14:31:00,Solved,"Sec 279, 337 IPC",Medium,85.8,Standard Monitoring
KSP/KAL/2024/00042,HURT / ASSAULT,Kalaburagi,University PS,17.2581,76.8579,2024-04-22 21:16:00,Investigating,"Sec 323, 324, 504 IPC",High,90.2,High Risk Zone
KSP/MYS/2025/00043,THEFT,Mysuru,KRS Road,12.2441,76.7263,2025-11-22 03:42:00,Pending,Sec 379 IPC,Medium,89.0,Standard Monitoring
KSP/BEN/2025/00044,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Yelahanka,12.9851,77.5303,2025-05-30 00:29:00,Closed,"Sec 279, 337 IPC",Medium,86.8,Standard Monitoring
KSP/MAN/2025/00045,CYBER CRIME & FRAUD,Mangaluru,Surathkal,12.9109,74.899,2025-03-21 18:36:00,Charge Sheeted,"Sec 66D IT Act, 420 IPC",High,93.6,High Risk Zone
KSP/BEN/2025/00046,HURT / ASSAULT,Bengaluru Dist,Doddaballapura,13.007,77.5689,2025-10-24 22:42:00,Solved,"Sec 323, 324, 504 IPC",High,93.5,High Risk Zone
KSP/BEN/2025/00047,CrPC OFFENCES,Bengaluru City,Jayanagar,12.9767,77.5402,2025-11-08 04:27:00,Closed,"Sec 107, 151 CrPC",Low,92.6,Standard Monitoring
KSP/RAI/2026/00048,CYBER CRIME & FRAUD,Raichur,Sadabad,16.2634,77.3599,2026-04-02 13:00:00,Pending,"Sec 66D IT Act, 420 IPC",High,92.3,High Risk Zone
KSP/BEN/2024/00049,KPA 1963 VIOLATIONS,Bengaluru Dist,Devanahalli,13.1377,77.5526,2024-11-08 10:06:00,Pending,"Sec 78, 87 KPA",Low,97.4,Standard Monitoring
KSP/BEN/2025/00050,NARCOTICS (NDPS),Bengaluru Dist,Nelamangala,13.0156,77.5702,2025-04-13 05:14:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,90.7,High Risk Zone
KSP/BEN/2025/00051,THEFT,Bengaluru City,Cubbon Park,12.9464,77.6133,2025-06-19 16:44:00,Solved,Sec 379 IPC,Medium,86.3,Standard Monitoring
KSP/BEN/2025/00052,THEFT,Bengaluru Dist,Doddaballapura,13.127,77.5921,2025-04-02 02:26:00,Pending,Sec 379 IPC,Medium,86.7,Standard Monitoring
KSP/HUB/2024/00053,HURT / ASSAULT,Hubballi-Dharwad,Kamripeth,15.4369,75.1856,2024-10-01 21:33:00,Pending,"Sec 323, 324, 504 IPC",High,98.5,High Risk Zone
KSP/BEN/2024/00054,THEFT,Bengaluru City,Electronic City,13.0015,77.6073,2024-07-16 19:44:00,Solved,Sec 379 IPC,Medium,94.5,Standard Monitoring
KSP/BEN/2024/00055,MISSING PERSON,Bengaluru City,Whitefield,12.9735,77.6147,2024-08-21 02:07:00,Investigating,Sec 363 IPC,Medium,86.4,Standard Monitoring
KSP/BEL/2024/00056,CrPC OFFENCES,Belagavi,Camp PS,15.8568,74.5423,2024-12-20 17:53:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,96.4,Standard Monitoring
KSP/BEN/2026/00057,NARCOTICS (NDPS),Bengaluru Dist,Hosakote,13.1189,77.6025,2026-03-10 12:55:00,Closed,"Sec 20(b), 22 NDPS Act",Critical,93.1,High Risk Zone
KSP/TUM/2025/00058,HURT / ASSAULT,Tumakuru,Town PS,13.2744,77.106,2025-06-16 16:41:00,Investigating,"Sec 323, 324, 504 IPC",High,97.7,High Risk Zone
KSP/MYS/2024/00059,THEFT,Mysuru,KRS Road,12.3143,76.6167,2024-05-29 13:35:00,Charge Sheeted,Sec 379 IPC,Medium,88.7,Standard Monitoring
KSP/DAV/2024/00060,MOTOR VEHICLE ACCIDENTS NON-FATAL,Davanagere,PJ Extension,14.3969,75.9824,2024-11-28 09:51:00,Closed,"Sec 279, 337 IPC",Medium,86.7,Standard Monitoring
KSP/BEN/2025/00061,CrPC OFFENCES,Bengaluru City,Indiranagar,13.0465,77.552,2025-08-16 11:23:00,Investigating,"Sec 107, 151 CrPC",Low,90.9,Standard Monitoring
KSP/BEN/2024/00062,CYBER CRIME & FRAUD,Bengaluru Dist,Hosakote,13.1186,77.6326,2024-05-12 22:54:00,Investigating,"Sec 66D IT Act, 420 IPC",High,91.4,High Risk Zone
KSP/BEN/2025/00063,HURT / ASSAULT,Bengaluru Dist,Doddaballapura,13.1221,77.631,2025-02-18 10:12:00,Solved,"Sec 323, 324, 504 IPC",High,95.6,High Risk Zone
KSP/KOL/2026/00064,HURT / ASSAULT,Kolar,Bangarapet,13.1709,78.1557,2026-01-27 12:35:00,Pending,"Sec 323, 324, 504 IPC",High,91.4,High Risk Zone
KSP/TUM/2025/00065,CYBER CRIME & FRAUD,Tumakuru,Gubbi,13.3769,77.0247,2025-11-01 17:08:00,Pending,"Sec 66D IT Act, 420 IPC",High,85.7,High Risk Zone
KSP/RAI/2026/00066,MOTOR VEHICLE ACCIDENTS NON-FATAL,Raichur,Sadabad,16.255,77.2911,2026-07-03 08:26:00,Closed,"Sec 279, 337 IPC",Medium,86.9,Standard Monitoring
KSP/CHI/2024/00067,MOTOR VEHICLE ACCIDENTS NON-FATAL,Chikkaballapura,Chintamani,13.3932,77.7067,2024-06-23 04:57:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,88.4,Standard Monitoring
KSP/CHA/2025/00068,MOTOR VEHICLE ACCIDENTS NON-FATAL,Chamarajanagar,Kollegal,11.9759,76.924,2025-07-04 22:01:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,91.3,Standard Monitoring
KSP/MYS/2025/00069,THEFT,Mysuru,Devaraja PS,12.275,76.6889,2025-10-03 18:31:00,Pending,Sec 379 IPC,Medium,95.4,Standard Monitoring
KSP/BEN/2026/00070,THEFT,Bengaluru City,Yelahanka,13.0369,77.5274,2026-05-31 13:34:00,Charge Sheeted,Sec 379 IPC,Medium,87.9,Standard Monitoring
KSP/BEN/2026/00071,THEFT,Bengaluru City,Indiranagar,13.0126,77.6735,2026-05-12 22:16:00,Investigating,Sec 379 IPC,Medium,91.6,Standard Monitoring
KSP/KAL/2025/00072,CrPC OFFENCES,Kalaburagi,University PS,17.356,76.8809,2025-06-29 12:44:00,Pending,"Sec 107, 151 CrPC",Low,86.0,Standard Monitoring
KSP/HAS/2024/00073,MISSING PERSON,Hassan,Gorur,13.0006,76.0874,2024-04-23 19:46:00,Investigating,Sec 363 IPC,Medium,92.2,Standard Monitoring
KSP/KOL/2025/00074,MOTOR VEHICLE ACCIDENTS NON-FATAL,Kolar,Robertsonpet,13.1012,78.1243,2025-04-26 04:20:00,Investigating,"Sec 279, 337 IPC",Medium,85.1,Standard Monitoring
KSP/UTT/2025/00075,BURGLARY / HOUSE BREAKING,Uttara Kannada,Dandeli,14.7294,74.1931,2025-04-10 09:38:00,Closed,"Sec 454, 457, 380 IPC",High,90.6,High Risk Zone
KSP/RAM/2026/00076,CrPC OFFENCES,Ramanagara,Kanakapura,12.7019,77.3135,2026-01-24 09:12:00,Pending,"Sec 107, 151 CrPC",Low,91.7,Standard Monitoring
KSP/CHI/2026/00077,CYBER CRIME & FRAUD,Chikkaballapura,Chintamani,13.4998,77.6991,2026-05-01 20:58:00,Closed,"Sec 66D IT Act, 420 IPC",High,88.4,High Risk Zone
KSP/BEN/2025/00078,CrPC OFFENCES,Bengaluru City,Koramangala,13.0246,77.6124,2025-08-31 11:13:00,Investigating,"Sec 107, 151 CrPC",Low,95.6,Standard Monitoring
KSP/TUM/2024/00079,MOTOR VEHICLE ACCIDENTS NON-FATAL,Tumakuru,Kyatsandra,13.3979,77.0555,2024-06-22 08:31:00,Solved,"Sec 279, 337 IPC",Medium,93.5,Standard Monitoring
KSP/UDU/2025/00080,MOTOR VEHICLE ACCIDENTS NON-FATAL,Udupi,Manipal,13.3974,74.6774,2025-01-09 08:17:00,Pending,"Sec 279, 337 IPC",Medium,95.7,Standard Monitoring
KSP/BEN/2024/00081,HURT / ASSAULT,Bengaluru Dist,Doddaballapura,13.1251,77.6111,2024-12-20 06:39:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,96.2,High Risk Zone
KSP/TUM/2025/00082,HURT / ASSAULT,Tumakuru,Sira,13.4002,77.1028,2025-08-22 03:48:00,Closed,"Sec 323, 324, 504 IPC",High,96.6,High Risk Zone
KSP/BEN/2025/00083,MISSING PERSON,Bengaluru City,Cubbon Park,12.9312,77.6361,2025-05-24 06:21:00,Solved,Sec 363 IPC,Medium,92.3,Standard Monitoring
KSP/RAI/2026/00084,MISSING PERSON,Raichur,Sindhanur,16.2045,77.3578,2026-03-14 04:40:00,Solved,Sec 363 IPC,Medium,90.3,Standard Monitoring
KSP/BEN/2025/00085,THEFT,Bengaluru City,Hebbal,12.9061,77.647,2025-05-25 15:15:00,Closed,Sec 379 IPC,Medium,85.4,Standard Monitoring
KSP/RAM/2026/00086,MISSING PERSON,Ramanagara,Ijoor PS,12.7031,77.3602,2026-07-25 10:38:00,Closed,Sec 363 IPC,Medium,88.0,Standard Monitoring
KSP/CHI/2024/00087,HURT / ASSAULT,Chitradurga,Town PS,14.203,76.4713,2024-03-21 18:05:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,85.1,High Risk Zone
KSP/UDU/2024/00088,KPA 1963 VIOLATIONS,Udupi,Town PS,13.3188,74.6625,2024-10-02 20:25:00,Pending,"Sec 78, 87 KPA",Low,93.8,Standard Monitoring
KSP/BEN/2025/00089,HURT / ASSAULT,Bengaluru City,Koramangala,12.9641,77.5803,2025-07-08 22:33:00,Charge Sheeted,"Sec 323, 324, 504 IPC",High,91.4,High Risk Zone
KSP/CHI/2025/00090,BURGLARY / HOUSE BREAKING,Chitradurga,Town PS,14.2156,76.3875,2025-04-18 17:36:00,Charge Sheeted,"Sec 454, 457, 380 IPC",High,87.7,High Risk Zone
KSP/RAM/2025/00091,CrPC OFFENCES,Ramanagara,Ijoor PS,12.7039,77.3004,2025-07-01 18:42:00,Investigating,"Sec 107, 151 CrPC",Low,92.2,Standard Monitoring
KSP/MAN/2024/00092,BURGLARY / HOUSE BREAKING,Mangaluru,Panambur,12.841,74.8023,2024-04-23 18:17:00,Solved,"Sec 454, 457, 380 IPC",High,97.3,High Risk Zone
KSP/KAL/2025/00093,KPA 1963 VIOLATIONS,Kalaburagi,Brahampur,17.2688,76.8994,2025-09-30 14:51:00,Pending,"Sec 78, 87 KPA",Low,91.3,Standard Monitoring
KSP/BAG/2025/00094,THEFT,Bagalkote,Ilkal,16.1798,75.7357,2025-06-11 23:13:00,Closed,Sec 379 IPC,Medium,87.0,Standard Monitoring
KSP/MYS/2024/00095,THEFT,Mysuru,Devaraja PS,12.3497,76.6887,2024-12-09 20:39:00,Closed,Sec 379 IPC,Medium,95.1,Standard Monitoring
KSP/BEN/2026/00096,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Hebbal,13.0189,77.6632,2026-03-21 00:31:00,Closed,"Sec 279, 337 IPC",Medium,88.0,Standard Monitoring
KSP/KAL/2024/00097,HURT / ASSAULT,Kalaburagi,Ashok Nagar,17.3623,76.7915,2024-10-07 20:15:00,Pending,"Sec 323, 324, 504 IPC",High,95.6,High Risk Zone
KSP/BEN/2024/00098,HURT / ASSAULT,Bengaluru Dist,Doddaballapura,13.0538,77.5293,2024-08-20 16:06:00,Pending,"Sec 323, 324, 504 IPC",High,92.3,High Risk Zone
KSP/MYS/2025/00099,NARCOTICS (NDPS),Mysuru,Devaraja PS,12.32,76.6728,2025-08-01 05:50:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,88.4,High Risk Zone
KSP/BEN/2026/00100,CrPC OFFENCES,Bengaluru City,Koramangala,13.0033,77.6267,2026-02-01 07:06:00,Closed,"Sec 107, 151 CrPC",Low,91.4,Standard Monitoring
KSP/MYS/2024/00101,CrPC OFFENCES,Mysuru,KRS Road,12.3235,76.6851,2024-08-09 09:16:00,Solved,"Sec 107, 151 CrPC",Low,86.0,Standard Monitoring
KSP/UDU/2025/00102,KPA 1963 VIOLATIONS,Udupi,Malpe,13.2869,74.7146,2025-11-14 18:59:00,Closed,"Sec 78, 87 KPA",Low,87.7,Standard Monitoring
KSP/HAS/2025/00103,THEFT,Hassan,City PS,12.943,76.1082,2025-08-11 21:44:00,Investigating,Sec 379 IPC,Medium,91.7,Standard Monitoring
KSP/KAL/2025/00104,CrPC OFFENCES,Kalaburagi,University PS,17.3482,76.8648,2025-06-22 15:40:00,Closed,"Sec 107, 151 CrPC",Low,91.4,Standard Monitoring
KSP/BEN/2025/00105,CrPC OFFENCES,Bengaluru City,Hebbal,12.9345,77.5659,2025-06-26 13:53:00,Solved,"Sec 107, 151 CrPC",Low,85.9,Standard Monitoring
KSP/KAL/2026/00106,CrPC OFFENCES,Kalaburagi,Brahampur,17.3864,76.7751,2026-04-17 03:50:00,Investigating,"Sec 107, 151 CrPC",Low,93.4,Standard Monitoring
KSP/BEN/2026/00107,KPA 1963 VIOLATIONS,Bengaluru City,Koramangala,12.8966,77.6496,2026-02-04 06:01:00,Closed,"Sec 78, 87 KPA",Low,93.6,Standard Monitoring
KSP/KAL/2025/00108,MOTOR VEHICLE ACCIDENTS NON-FATAL,Kalaburagi,Station Bazar,17.3657,76.9041,2025-01-19 00:05:00,Closed,"Sec 279, 337 IPC",Medium,94.5,Standard Monitoring
KSP/BEN/2024/00109,CrPC OFFENCES,Bengaluru City,Electronic City,12.9649,77.6196,2024-04-21 04:33:00,Investigating,"Sec 107, 151 CrPC",Low,92.9,Standard Monitoring
KSP/BEN/2024/00110,NARCOTICS (NDPS),Bengaluru City,Hebbal,12.9475,77.6611,2024-07-06 03:01:00,Closed,"Sec 20(b), 22 NDPS Act",Critical,90.2,High Risk Zone
KSP/MYS/2024/00111,HURT / ASSAULT,Mysuru,KRS Road,12.227,76.6365,2024-11-27 17:14:00,Investigating,"Sec 323, 324, 504 IPC",High,98.0,High Risk Zone
KSP/KOL/2024/00112,HURT / ASSAULT,Kolar,Robertsonpet,13.1016,78.1688,2024-11-06 06:38:00,Pending,"Sec 323, 324, 504 IPC",High,91.1,High Risk Zone
KSP/BEN/2026/00113,CrPC OFFENCES,Bengaluru City,Yelahanka,12.8968,77.5338,2026-06-17 19:41:00,Closed,"Sec 107, 151 CrPC",Low,92.5,Standard Monitoring
KSP/MAN/2024/00114,KPA 1963 VIOLATIONS,Mangaluru,Kadri,12.9163,74.8474,2024-02-28 18:47:00,Closed,"Sec 78, 87 KPA",Low,85.1,Standard Monitoring
KSP/MYS/2025/00115,BURGLARY / HOUSE BREAKING,Mysuru,Nazarbad,12.3582,76.6826,2025-04-02 09:28:00,Investigating,"Sec 454, 457, 380 IPC",High,92.6,High Risk Zone
KSP/BEN/2026/00116,ROBBERY / DACOITY,Bengaluru City,Yelahanka,12.8942,77.5276,2026-02-19 16:55:00,Pending,"Sec 392, 395 IPC",Critical,87.4,High Risk Zone
KSP/BEN/2024/00117,KPA 1963 VIOLATIONS,Bengaluru City,Koramangala,12.9972,77.5965,2024-01-06 18:50:00,Solved,"Sec 78, 87 KPA",Low,86.7,Standard Monitoring
KSP/BEN/2024/00118,THEFT,Bengaluru City,Koramangala,12.9959,77.6509,2024-05-31 05:51:00,Charge Sheeted,Sec 379 IPC,Medium,92.6,Standard Monitoring
KSP/BEN/2024/00119,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Cubbon Park,12.9862,77.5624,2024-07-24 22:29:00,Solved,"Sec 279, 337 IPC",Medium,94.4,Standard Monitoring
KSP/BEN/2026/00120,CYBER CRIME & FRAUD,Bengaluru City,Electronic City,12.9048,77.5797,2026-03-19 05:37:00,Solved,"Sec 66D IT Act, 420 IPC",High,88.9,High Risk Zone
KSP/BEN/2026/00121,HURT / ASSAULT,Bengaluru City,Koramangala,12.995,77.5877,2026-07-01 22:00:00,Solved,"Sec 323, 324, 504 IPC",High,93.5,High Risk Zone
KSP/HAS/2025/00122,CYBER CRIME & FRAUD,Hassan,Arsikere,13.0794,76.0999,2025-07-22 15:09:00,Investigating,"Sec 66D IT Act, 420 IPC",High,86.7,High Risk Zone
KSP/MAN/2025/00123,MOTOR VEHICLE ACCIDENTS NON-FATAL,Mandya,Maddur,12.5752,76.8735,2025-01-22 02:33:00,Pending,"Sec 279, 337 IPC",Medium,95.8,Standard Monitoring
KSP/BEN/2025/00124,MISSING PERSON,Bengaluru City,Indiranagar,13.0393,77.6596,2025-07-25 12:18:00,Charge Sheeted,Sec 363 IPC,Medium,93.6,Standard Monitoring
KSP/TUM/2025/00125,MOTOR VEHICLE ACCIDENTS NON-FATAL,Tumakuru,Town PS,13.4024,77.1173,2025-12-05 13:10:00,Investigating,"Sec 279, 337 IPC",Medium,87.0,Standard Monitoring
KSP/UTT/2024/00126,THEFT,Uttara Kannada,Karwar Town,14.8636,74.0938,2024-01-29 10:45:00,Closed,Sec 379 IPC,Medium,90.2,Standard Monitoring
KSP/BEN/2026/00127,BURGLARY / HOUSE BREAKING,Bengaluru City,Jayanagar,12.9235,77.6509,2026-04-05 17:19:00,Closed,"Sec 454, 457, 380 IPC",High,87.0,High Risk Zone
KSP/SHI/2025/00128,HURT / ASSAULT,Shivamogga,Bhadravathi,13.971,75.4929,2025-11-15 06:09:00,Solved,"Sec 323, 324, 504 IPC",High,88.4,High Risk Zone
KSP/CHI/2026/00129,NARCOTICS (NDPS),Chitradurga,Hiriyur,14.2806,76.3813,2026-03-30 01:25:00,Charge Sheeted,"Sec 20(b), 22 NDPS Act",Critical,93.5,High Risk Zone
KSP/MAN/2024/00130,HURT / ASSAULT,Mangaluru,Barkarke,12.8752,74.9345,2024-06-10 04:59:00,Investigating,"Sec 323, 324, 504 IPC",High,98.2,High Risk Zone
KSP/BEN/2024/00131,ROBBERY / DACOITY,Bengaluru City,Yelahanka,12.9433,77.5576,2024-05-09 06:16:00,Investigating,"Sec 392, 395 IPC",Critical,93.4,High Risk Zone
KSP/HUB/2024/00132,HURT / ASSAULT,Hubballi-Dharwad,Vidyagiri,15.4359,75.1893,2024-03-19 02:34:00,Solved,"Sec 323, 324, 504 IPC",High,95.4,High Risk Zone
KSP/MAN/2026/00133,BURGLARY / HOUSE BREAKING,Mangaluru,Surathkal,12.849,74.8546,2026-03-07 21:23:00,Solved,"Sec 454, 457, 380 IPC",High,86.9,High Risk Zone
KSP/TUM/2026/00134,MOTOR VEHICLE ACCIDENTS NON-FATAL,Tumakuru,Town PS,13.3974,77.0425,2026-06-03 03:47:00,Pending,"Sec 279, 337 IPC",Medium,86.9,Standard Monitoring
KSP/BEN/2026/00135,CrPC OFFENCES,Bengaluru City,Whitefield,12.8946,77.6579,2026-06-25 14:24:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,88.0,Standard Monitoring
KSP/BEN/2025/00136,MOTOR VEHICLE ACCIDENTS NON-FATAL,Bengaluru City,Koramangala,12.9841,77.5794,2025-10-30 00:35:00,Charge Sheeted,"Sec 279, 337 IPC",Medium,88.7,Standard Monitoring
KSP/VIJ/2026/00137,CrPC OFFENCES,Vijayapura,Gandhi Chowk,16.8354,75.6476,2026-02-24 13:47:00,Charge Sheeted,"Sec 107, 151 CrPC",Low,86.2,Standard Monitoring
